"ModuleName","ProcedureName","Kind","Visibility","Signature","ReturnType","Parameters","ParameterCount","StartLine","EndLine","CodeLines","CommentLines","CallSiteCount","CallingModules","UsesCurrentDb","UsesExplicitDaoDatabase","UsesPrivateModuleVariables","HasErrorHandling","HasLogging","SideEffects"
"modLicenseHandler","InitializeLicensing","Function","Public","Public Function InitializeLicensing(Optional ByVal IniPath As String = vbNullString) As Boolean","Boolean","Optional ByVal IniPath As String = vbNullString","1","109","121","9","0","4","modLicenseHandler","False","False","","True","True",""
"modLicenseHandler","IsFeatureEnabled","Function","Public","Public Function IsFeatureEnabled(ByVal featureName As String) As Boolean","Boolean","ByVal featureName As String","1","123","125","2","0","1","modLicenseHandler","False","False","","False","False",""
"modLicenseHandler","LoadRuntimeLicenses","Sub","Private","Private Sub LoadRuntimeLicenses(Optional ByVal IniPath As String = vbNullString)","","Optional ByVal IniPath As String = vbNullString","1","127","156","20","0","3","modLicenseHandler","False","False","","True","False",""
"modLicenseHandler","LoadFeatureList","Sub","Private","Private Sub LoadFeatureList(ByVal FeatureList As String)","","ByVal FeatureList As String","1","158","182","19","0","2","modLicenseHandler","False","False","","True","False",""
"modLicenseHandler","AddLicensedFeature","Sub","Private","Private Sub AddLicensedFeature(ByVal featureName As String)","","ByVal featureName As String","1","184","203","14","0","6","modLicenseHandler","False","False","","True","False",""
"modLicenseHandler","ClearLicenseStore","Sub","Private","Private Sub ClearLicenseStore()","","","0","205","214","7","0","2","modLicenseHandler","False","False","","True","False",""
"modLicenseHandler","GetLicenseStore","Function","Private","Private Function GetLicenseStore() As Object","Object","","0","216","218","2","0","8","modLicenseHandler","False","False","","False","False",""
"modLoggingHandler","LogInfo","Sub","Public","Public Sub LogInfo(ByVal SourceProcedure As String, ByVal Message As String)","","ByVal SourceProcedure As String; ByVal Message As String","2","17","19","2","0","127","modAddressRepository; modAppDashboardService; modAppNavigationService; modAppShell; modAppWorkspaceService; modBackendLinker; modBasicModuleSchema; modBootstrap; modContactRepository; modCurrencyFormatService; modDb; modDeepLTranslationService; modDemoDataSeeder; modDocumentCalculationService; modDocumentPostingHandler; modDocumentRepository; modFormLocalization; modFormRuntime; modFwComposerService; modFwControlNamingTool; modFwDiagnostics; modFwSetup; modFwTranslationAuditService; modFwTranslationEditService; modFwTranslationRuntime; modFwTranslationTagGeneratorService; modFwValidationRuntime; modLicenseHandler; modModuleManager; modNumberRangeRepository; modOrderRepository; modPdfExportService; modSessionContext; modTenantContext; modTranslationService","False","False","","False","False",""
"modLoggingHandler","LogWarning","Sub","Public","Public Sub LogWarning(ByVal SourceProcedure As String, ByVal Message As String)","","ByVal SourceProcedure As String; ByVal Message As String","2","21","23","2","0","128","modAddressCockpitService; modAddressRepository; modAppNavigationService; modAppShell; modAppWorkspaceService; modBasicModuleSchema; modContactRepository; modDb; modDeepLTranslationService; modDocumentCalculationService; modDocumentExportHandler; modDocumentPostingHandler; modDocumentRepository; modDocumentService; modFormRuntime; modFwComposerService; modFwControlNamingTool; modFwSetup; modFwTranslationAuditService; modFwTranslationRuntime; modFwValidationRuntime; modLicenseHandler; modModuleManager; modNumberingHandler; modNumberRangeRepository; modOrderCalculationService; modOrderRepository; modOutputPathService; modPdfExportService; modSecurityHandler; modTenantContext; modTenantRepository; modTranslationService; modUserRepository; modVatHandler","False","False","","False","False",""
"modLoggingHandler","LogError","Sub","Public","Public Sub LogError(ByVal SourceProcedure As String, ByVal Message As String, Optional ByVal errorNumber As Long = 0)","","ByVal SourceProcedure As String; ByVal Message As String; Optional ByVal errorNumber As Long = 0","3","25","34","7","0","22","modBackendLinker; modBasicModuleSchema; modCurrencyFormatService; modDb; modDocumentPostingHandler; modDocumentRepository; modErrorHandler; modPdfExportService","False","False","","False","False",""
