"procedure_name","target_module","target_signature","caller_module","line_number","line_text","call_style","arguments","needs_explicit_db","uses_currentdb_context"
"TableExists","modDocumentCalculationService","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modDocumentCalculationService","80","If Not TableExists(db, TABLE_DOC_DOCUMENT) Then","unqualified-local","db, TABLE_DOC_DOCUMENT","True","False"
"FieldExists","modDocumentCalculationService","Private Function FieldExists(ByVal db As DAO.Database, ByVal tableName As String, ByVal fieldName As String) As Boolean","modDocumentCalculationService","533","If Not FieldExists(db, tableName, fieldName) Then","unqualified-local","db, tableName, fieldName","True","False"
"FieldExists","modDocumentCalculationService","Private Function FieldExists(ByVal db As DAO.Database, ByVal tableName As String, ByVal fieldName As String) As Boolean","modDocumentCalculationService","553","If Not FieldExists(db, tableName, fieldName) Then","unqualified-local","db, tableName, fieldName","True","False"
"TableExists","modDocumentRepository","Private Function TableExists(ByVal tableName As String) As Boolean","modDocumentRepository","81","If Not TableExists(TABLE_DOC_DOCUMENT) Then","unqualified-local","TABLE_DOC_DOCUMENT","False","False"
"TableExists","modDocumentRepository","Private Function TableExists(ByVal tableName As String) As Boolean","modDocumentRepository","157","If Not TableExists(TABLE_DOC_DOCUMENT_POSITION) Then","unqualified-local","TABLE_DOC_DOCUMENT_POSITION","False","False"
"TableExists","modDocumentRepository","Private Function TableExists(ByVal tableName As String) As Boolean","modDocumentRepository","215","If Not TableExists(TABLE_DOC_DOCUMENT_POSITION) Then","unqualified-local","TABLE_DOC_DOCUMENT_POSITION","False","False"
"TableExists","modDocumentRepository","Private Function TableExists(ByVal tableName As String) As Boolean","modDocumentRepository","295","If Not TableExists(TABLE_DOC_DOCUMENT) Or Not TableExists(TABLE_DOC_DOCUMENT_POSITION) Then","unqualified-local","TABLE_DOC_DOCUMENT","False","False"
"TableExists","modDocumentRepository","Private Function TableExists(ByVal tableName As String) As Boolean","modDocumentRepository","385","If Not TableExists(TABLE_DOC_DOCUMENT) Then","unqualified-local","TABLE_DOC_DOCUMENT","False","False"
"TableExists","modDocumentRepository","Private Function TableExists(ByVal tableName As String) As Boolean","modDocumentRepository","494","If Not TableExists(TABLE_DOC_DOCUMENT) Then","unqualified-local","TABLE_DOC_DOCUMENT","False","False"
"TableExists","modDocumentRepository","Private Function TableExists(ByVal tableName As String) As Boolean","modDocumentRepository","574","If Not TableExists(TABLE_DOC_DOCUMENT) Then","unqualified-local","TABLE_DOC_DOCUMENT","False","False"
"TableExists","modDocumentRepository","Private Function TableExists(ByVal tableName As String) As Boolean","modDocumentRepository","622","If Not TableExists(TABLE_DOC_DOCUMENT_POSITION) Then","unqualified-local","TABLE_DOC_DOCUMENT_POSITION","False","False"
"TableExists","modDocumentRepository","Private Function TableExists(ByVal tableName As String) As Boolean","modDocumentRepository","711","If Not TableExists(TABLE_DOC_DOCUMENT) Then","unqualified-local","TABLE_DOC_DOCUMENT","False","False"
"TableExists","modDocumentRepository","Private Function TableExists(ByVal tableName As String) As Boolean","modDocumentRepository","757","If Not TableExists(TABLE_DOC_DOCUMENT) Then","unqualified-local","TABLE_DOC_DOCUMENT","False","False"
"TableExists","modFwComposerService","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modFwComposerService","321","If Not TableExists(db, TRANSLATION_TABLE_NAME) Then","unqualified-local","db, TRANSLATION_TABLE_NAME","True","False"
"TableExists","modFwComposerService","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modFwComposerService","361","If Not TableExists(db, TRANSLATION_TABLE_NAME) Then","unqualified-local","db, TRANSLATION_TABLE_NAME","True","False"
"TableExists","modFwTranslationAuditService","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modFwTranslationAuditService","71","If TableExists(db, TABLE_AUDIT) Then","unqualified-local","db, TABLE_AUDIT","True","False"
"TableExists","modFwTranslationAuditService","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modFwTranslationAuditService","105","If TableExists(db, TABLE_EXPECTED) Then","unqualified-local","db, TABLE_EXPECTED","True","False"
"TableExists","modFwTranslationAuditService","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modFwTranslationAuditService","225","If Not TableExists(db, TABLE_AUDIT) Then","unqualified-local","db, TABLE_AUDIT","True","False"
"TableExists","modFwTranslationAuditService","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modFwTranslationAuditService","323","If Not TableExists(db, TABLE_EXPECTED) Then","unqualified-local","db, TABLE_EXPECTED","True","False"
"TableExists","modFwTranslationAuditService","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modFwTranslationAuditService","371","If Not TableExists(db, TABLE_NAVIGATION) Then","unqualified-local","db, TABLE_NAVIGATION","True","False"
"TableExists","modFwTranslationAuditService","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modFwTranslationAuditService","423","If Not TableExists(db, tableName) Then","unqualified-local","db, tableName","True","False"
"TableExists","modFwTranslationAuditService","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modFwTranslationAuditService","500","If Not TableExists(db, TABLE_TRANSLATION) Then","unqualified-local","db, TABLE_TRANSLATION","True","False"
"TableExists","modFwTranslationAuditService","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modFwTranslationAuditService","554","If Not TableExists(db, TABLE_TRANSLATION) Then","unqualified-local","db, TABLE_TRANSLATION","True","False"
"TableExists","modFwTranslationAuditService","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modFwTranslationAuditService","638","If Not TableExists(db, TABLE_TRANSLATION) Then","unqualified-local","db, TABLE_TRANSLATION","True","False"
"TableExists","modFwTranslationAuditService","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modFwTranslationAuditService","667","If Not TableExists(db, TABLE_TRANSLATION) Then","unqualified-local","db, TABLE_TRANSLATION","True","False"
"TableExists","modFwTranslationEditService","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modFwTranslationEditService","168","If Not TableExists(db, TABLE_AUDIT) Then","unqualified-local","db, TABLE_AUDIT","True","False"
"TableExists","modFwTranslationRuntime","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modFwTranslationRuntime","113","If Not TableExists(db, TABLE_FW_TRANSLATIONS) Then","unqualified-local","db, TABLE_FW_TRANSLATIONS","True","False"
"TableExists","modFwTranslationRuntime","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modFwTranslationRuntime","210","If Not TableExists(db, TABLE_FW_TRANSLATIONS) Then","unqualified-local","db, TABLE_FW_TRANSLATIONS","True","False"
"TableExists","modFwTranslationTagGeneratorService","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modFwTranslationTagGeneratorService","43","If TableExists(db, TABLE_TAG_GENERATOR) Then","unqualified-local","db, TABLE_TAG_GENERATOR","True","False"
"TableExists","modFwTranslationTagGeneratorService","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modFwTranslationTagGeneratorService","403","If Not TableExists(db, TABLE_TAG_GENERATOR) Then","unqualified-local","db, TABLE_TAG_GENERATOR","True","False"
"TableExists","modFwTranslationTagGeneratorService","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modFwTranslationTagGeneratorService","429","If Not TableExists(db, TABLE_TAG_GENERATOR) Then","unqualified-local","db, TABLE_TAG_GENERATOR","True","False"
"TableExists","modMigrationPaymentTerms","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modMigrationPaymentTerms","86","If Not TableExists(db, TABLE_DOC_DOCUMENT) Then","unqualified-local","db, TABLE_DOC_DOCUMENT","True","False"
"FieldExists","modMigrationPaymentTerms","Private Function FieldExists(ByVal db As DAO.Database, ByVal tableName As String, ByVal fieldName As String) As Boolean","modMigrationPaymentTerms","91","If Not FieldExists(db, TABLE_DOC_DOCUMENT, FIELD_LANGUAGE_CODE) Then","unqualified-local","db, TABLE_DOC_DOCUMENT, FIELD_LANGUAGE_CODE","True","False"
"FieldExists","modMigrationPaymentTerms","Private Function FieldExists(ByVal db As DAO.Database, ByVal tableName As String, ByVal fieldName As String) As Boolean","modMigrationPaymentTerms","95","If Not FieldExists(db, TABLE_DOC_DOCUMENT, FIELD_PAYMENT_TERM_CODE) Then","unqualified-local","db, TABLE_DOC_DOCUMENT, FIELD_PAYMENT_TERM_CODE","True","False"
