"translation_id","translation_key","language_code","translation_value","is_active","module_code","sort_order","created_at","created_by","updated_at","updated_by"
1049,"UNIT.KG","de-CH","Kilogramm",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
1051,"UNIT.KG","fr-CH","Kilogramme",1,,"0",30.05.2026 09:47:36,"SYSTEM",30.05.2026 09:47:36,"SYSTEM"
1053,"UNIT.KG","en-US","Kilogram",1,,"0",30.05.2026 09:47:37,"SYSTEM",30.05.2026 09:47:37,"SYSTEM"
1054,"UNIT.METER","de-CH","Meter",1,,"0",30.05.2026 09:47:37,"SYSTEM",30.05.2026 09:47:37,"SYSTEM"
1056,"UNIT.METER","fr-CH","Metre",1,,"0",30.05.2026 09:47:37,"SYSTEM",30.05.2026 09:47:37,"SYSTEM"
1058,"UNIT.METER","en-US","Meter",1,,"0",30.05.2026 09:47:37,"SYSTEM",30.05.2026 09:47:37,"SYSTEM"
1059,"UNIT.LITER","de-CH","Liter",1,,"0",30.05.2026 09:47:37,"SYSTEM",30.05.2026 09:47:37,"SYSTEM"
1061,"UNIT.LITER","fr-CH","Litre",1,,"0",30.05.2026 09:47:37,"SYSTEM",30.05.2026 09:47:37,"SYSTEM"
1063,"UNIT.LITER","en-US","Liter",1,,"0",30.05.2026 09:47:37,"SYSTEM",30.05.2026 09:47:37,"SYSTEM"
1064,"UNIT.PACKAGE","de-CH","Paket",1,,"0",30.05.2026 09:47:37,"SYSTEM",30.05.2026 09:47:37,"SYSTEM"
1066,"UNIT.PACKAGE","fr-CH","Colis",1,,"0",30.05.2026 09:47:37,"SYSTEM",30.05.2026 09:47:37,"SYSTEM"
1068,"UNIT.PACKAGE","en-US","Package",1,,"0",30.05.2026 09:47:37,"SYSTEM",30.05.2026 09:47:37,"SYSTEM"
1069,"VAT.CH.STANDARD","de-CH","Standard",1,"VAT","0",30.05.2026 09:47:37,"SYSTEM",31.07.2026 10:54:35,"System User"
1071,"VAT.CH.STANDARD","fr-CH","Standard",1,"VAT","0",30.05.2026 09:47:37,"SYSTEM",31.07.2026 10:54:35,"System User"
1073,"VAT.CH.STANDARD","en-US","Standard",1,"VAT","0",30.05.2026 09:47:37,"SYSTEM",31.07.2026 10:54:35,"System User"
1074,"VAT.CH.REDUCED","de-CH","Reduziert",1,"VAT","0",30.05.2026 09:47:37,"SYSTEM",31.07.2026 10:51:40,"System User"
1076,"VAT.CH.REDUCED","fr-CH","Réduit",1,"VAT","0",30.05.2026 09:47:37,"SYSTEM",31.07.2026 10:51:40,"System User"
1078,"VAT.CH.REDUCED","en-US","Reduced",1,"VAT","0",30.05.2026 09:47:37,"SYSTEM",31.07.2026 10:51:40,"System User"
1079,"VAT.CH.SPECIAL","de-CH","Sondersatz",1,"VAT","0",30.05.2026 09:47:37,"SYSTEM",30.05.2026 09:47:37,"SYSTEM"
1081,"VAT.CH.SPECIAL","fr-CH","Taux special",1,"VAT","0",30.05.2026 09:47:37,"SYSTEM",30.05.2026 09:47:37,"SYSTEM"
1083,"VAT.CH.SPECIAL","en-US","Special rate",1,"VAT","0",30.05.2026 09:47:37,"SYSTEM",30.05.2026 09:47:37,"SYSTEM"
1084,"VAT.CH.ZERO","de-CH","Ohne",1,"VAT","0",30.05.2026 09:47:37,"SYSTEM",31.07.2026 10:56:39,"System User"
1086,"VAT.CH.ZERO","fr-CH","Sans",1,"VAT","0",30.05.2026 09:47:37,"SYSTEM",31.07.2026 10:56:39,"System User"
1088,"VAT.CH.ZERO","en-US","Without",1,"VAT","0",30.05.2026 09:47:37,"SYSTEM",31.07.2026 10:56:39,"System User"
1089,"NAV.GROUP.ADDRESSES","de-CH","Adressen",1,"NAV","10",30.05.2026 09:47:37,"SYSTEM",01.06.2026 18:12:18,"System User"
1090,"NAV.GROUP.ADDRESSES","en-US","Addresses",1,"NAV","10",30.05.2026 09:47:37,"SYSTEM",01.06.2026 18:12:18,"System User"
1091,"NAV.ADDRESS_LIST","de-CH","Adressliste",1,"NAV","20",30.05.2026 09:47:37,"SYSTEM",01.06.2026 18:08:52,"System User"
1092,"NAV.ADDRESS_LIST","en-US","Address list",1,"NAV","20",30.05.2026 09:47:37,"SYSTEM",01.06.2026 18:08:52,"System User"
1093,"NAV.NEW_ADDRESS","de-CH","Neue Adresse",1,"NAV","30",30.05.2026 09:47:37,"SYSTEM",02.06.2026 12:48:21,"System User"
1094,"NAV.NEW_ADDRESS","en-US","New address",1,"NAV","30",30.05.2026 09:47:37,"SYSTEM",02.06.2026 12:48:21,"System User"
