"translation_key","old_language_code","new_language_code","old_text","new_text","classification","auto_cleanable"
"ERR_MIN","DE","de-CH","muss >= {0} sein","muss >= {0} sein","IDENTICAL_SELF_MATCH","True"
"ERR_MIN","DE-CH","de-CH","Wert zu klein","Wert zu klein","IDENTICAL_SELF_MATCH","True"
"ERR_MIN","EN","en-US","must be >= {0}","must be >= {0}","IDENTICAL_SELF_MATCH","True"
"ERR_MIN","EN-US","en-US","Value too small","Value too small","IDENTICAL_SELF_MATCH","True"
"ERR_MINLEN","DE","de-CH","Mindestlaenge ist {0}","Mindestlaenge ist {0}","IDENTICAL_SELF_MATCH","True"
"ERR_MINLEN","DE-CH","de-CH","Eingabe zu kurz","Eingabe zu kurz","IDENTICAL_SELF_MATCH","True"
"ERR_MINLEN","EN","en-US","minimum length is {0}","minimum length is {0}","IDENTICAL_SELF_MATCH","True"
"ERR_MINLEN","EN-US","en-US","Input too short","Input too short","IDENTICAL_SELF_MATCH","True"
"ERR_NUMERIC","DE","de-CH","muss eine Zahl sein","muss eine Zahl sein","IDENTICAL_SELF_MATCH","True"
"ERR_NUMERIC","DE-CH","de-CH","Numerischer Wert erwartet","Numerischer Wert erwartet","IDENTICAL_SELF_MATCH","True"
"ERR_NUMERIC","EN","en-US","must be a number","must be a number","IDENTICAL_SELF_MATCH","True"
"ERR_NUMERIC","EN-US","en-US","Numeric value expected","Numeric value expected","IDENTICAL_SELF_MATCH","True"
"ERR_REQUIRED","DE","de-CH","ist erforderlich","ist erforderlich","IDENTICAL_SELF_MATCH","True"
"ERR_REQUIRED","DE-CH","de-CH","Pflichtfeld","Pflichtfeld","IDENTICAL_SELF_MATCH","True"
"ERR_REQUIRED","EN","en-US","is required","is required","IDENTICAL_SELF_MATCH","True"
"ERR_REQUIRED","EN-US","en-US","Mandatory field","Mandatory field","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.ACCOUNT_STATEMENT","DE-CH","de-CH","Kontoauszug","Kontoauszug","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.ACCOUNT_STATEMENT","EN-US","en-US","Account statement","Account statement","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.ACTIVE_SUBSCRIPTIONS","DE-CH","de-CH","Aktive Abos","Aktive Abos","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.ACTIVE_SUBSCRIPTIONS","EN-US","en-US","Active subscriptions","Active subscriptions","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.ADDRESS","DE-CH","de-CH","Adresse","Adresse","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.ADDRESS","EN-US","en-US","Address","Address","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.CAPTURE_PAYMENT","DE-CH","de-CH","Zahlungseingang erfassen","Zahlungseingang erfassen","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.CAPTURE_PAYMENT","EN-US","en-US","Capture payment","Capture payment","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.CMDACCOUNTSTATEMENT","DE-CH","de-CH","Kontoauszug","Kontoauszug","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.CMDACCOUNTSTATEMENT","EN-US","en-US","Account statement","Account statement","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.CMDCAPTUREPAYMENT","DE-CH","de-CH","Zahlungseingang erfassen","Zahlungseingang erfassen","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.CMDCAPTUREPAYMENT","EN-US","en-US","Enter Incoming Payment","Enter Incoming Payment","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.CMDDUNNING","DE-CH","de-CH","Mahnungen","Mahnungen","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.CMDDUNNING","EN-US","en-US","Reminders","Reminders","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.CMDEMAILS","DE-CH","de-CH","E-Mails","E-Mails","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.CMDEMAILS","EN-US","en-US","Emails","Emails","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.CMDMANAGEORDERS","DE-CH","de-CH","Bestellungen verwalten","Bestellungen verwalten","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.CMDMANAGEORDERS","EN-US","en-US","Manage Orders","Manage Orders","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.CMDMANAGESUBSCRIPTIONS","DE-CH","de-CH","Abos verwalten","Abos verwalten","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.CMDMANAGESUBSCRIPTIONS","EN-US","en-US","Manage Subscriptions","Manage Subscriptions","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.CMDNEWORDER","DE-CH","de-CH","Neue Bestellung","Neue Bestellung","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.CMDNEWORDER","EN-US","en-US","New Order","New Order","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.CMDNEWSUBSCRIPTION","DE-CH","de-CH","Neues Abo","Neues Abo","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.CMDNEWSUBSCRIPTION","EN-US","en-US","New Subscription","New Subscription","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.CMDNOTES","DE-CH","de-CH","Notizen","Notizen","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.CMDNOTES","EN-US","en-US","Notes","Notes","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.CMDREPORTS","DE-CH","de-CH","Reports","Reports","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.CMDREPORTS","EN-US","en-US","Reports","Reports","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.CONTACT","DE-CH","de-CH","Kontakt","Kontakt","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.CONTACT","EN-US","en-US","Contact","Contact","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.DUNNINGS","DE-CH","de-CH","Mahnungen","Mahnungen","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.DUNNINGS","EN-US","en-US","Dunnings","Dunnings","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.DUNNINGS_ACTION","DE-CH","de-CH","Mahnungen","Mahnungen","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.DUNNINGS_ACTION","EN-US","en-US","Dunnings","Dunnings","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.EMAILS","DE-CH","de-CH","E-Mails","E-Mails","IDENTICAL_SELF_MATCH","True"
